Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8837.220000000001,106046.64,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,4081.92,48983.04,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 8), Snapshot Frequency (Daily), Enable disabled, Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand), Storage amount (100 GB)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1861.2,22334.40,USD,"Data transfer out to internet (20000 GB per month), Data transfer out to origin (10000 GB per month), Number of requests (HTTPS) (10000000 per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,74.83,897.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,60.23,722.76,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour)"
My Estimate,US East (N. Virginia),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2529.04,30348.48,USD,"Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (1000), Storage amount (100 GB), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
