Estimate summary								
Upfront cost	Monthly cost	Total 12 months cost	Currency					
0	6363.7	76364.4	USD					
		* Includes upfront cost						
								
								
Detailed Estimate								
Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary
My Estimate	US East (N. Virginia)		Amazon EC2 	0	3571.68	42860.16	USD	"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 7), Enable disabled, Advance EC2 instance (m5a.4xlarge), Pricing strategy (), Storage amount (100 GB), Snapshot Frequency (Daily)"
My Estimate	US East (N. Virginia)		Amazon CloudFront	0	1861.2	22334.4	USD	"Data transfer out to internet (20000 GB per month), Data transfer out to origin (10000 GB per month), Number of requests (HTTPS) (10000000 per month)"
My Estimate	US East (N. Virginia)		Application Load Balancer	0	74.83	897.96	USD	Number of Application Load Balancers (1)
My Estimate	US East (N. Virginia)		Network Load Balancer	0	60.23	722.76	USD	"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour)"
My Estimate	US East (N. Virginia)		S3 Standard	0	230	2760	USD	S3 Standard storage (10000 GB per month)
My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD	
My Estimate	US East (N. Virginia)		Amazon RDS for PostgreSQL	0	565.76	6789.12	USD	"Storage volume (General Purpose SSD (gp2)), Storage amount (100 GB), Nodes (2), Instance Type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
								
								
"I use standard RDS instead of provisioned and the cost reduced to 1/4 565.76 USD. The total cost then is ~6800 USD, I would have keep it at that and negotiate, but since the course capped at 6500 USD, I removed 1 ec2 instance."								
Acknowledgement								
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."								
